ID,Localisation_producteur,X,Y,Secteur_activite,PRO,QA_t_kl,QSS_t_kl,QSP_t_kl,C/N,N_kg/t_L,P_kg/t_L,K_kg/t_L,C_kg/t_L,Prix_FCFA/kg_L,Type,destination,source,utilisation,Origine
0,1.0,0.0,7.6979921,-4.9665355,0.0,0.0,139356.0,58065.0,81291.0,13.7029702970297,5050.0,5645.0,3918.0,69200.0,50.0,0.0,0.0,0.0,0.0,0.0
1,2.0,1.0,7.7297761,-5.029549,1.0,1.0,324.0,135.0,189.0,15.41860465116279,17.2,11.13,6.96,265.2,25.0,0.0,1.0,0.0,0.0,0.0
2,3.0,2.0,7.733258,-5.07806,1.0,1.0,36.0,12.0,24.0,15.41860465116279,17.2,11.13,6.96,265.2,80.0,0.0,1.0,0.0,0.0,0.0
3,4.0,3.0,7.7018479,-4.9873749,1.0,1.0,36.5,15.208,21.292,15.41860465116279,17.2,11.13,6.96,265.2,30.0,0.0,1.0,0.0,0.0,0.0
4,5.0,4.0,7.719345,-4.965051,1.0,1.0,48.0,20.0,28.0,15.41860465116279,17.2,11.13,6.96,265.2,80.0,0.0,2.0,0.0,0.0,0.0
5,6.0,4.0,7.7246042,-4.9702225,1.0,1.0,36.0,15.0,21.0,15.41860465116279,17.2,11.13,6.96,265.2,30.0,0.0,2.0,0.0,0.0,0.0
6,7.0,4.0,7.724476,-4.966772,1.0,1.0,107.4,44.75,62.65,15.41860465116279,17.2,11.13,6.96,265.2,65.0,0.0,2.0,0.0,0.0,0.0
7,8.0,2.0,7.733312,-5.078748,1.0,2.0,8.2,3.42,4.78,26.52,9.2,2.1,8.1,265.2,48.0,0.0,1.0,0.0,0.0,0.0
8,9.0,5.0,7.7131672,-4.9701863,1.0,3.0,35.0,14.6,20.4,16.67,1.89,2.85,1.48,31.5,100.0,0.0,1.0,0.0,1.0,0.0
9,10.0,5.0,7.7131672,-4.9701863,1.0,3.0,23.0,9.6,13.4,16.67,1.89,2.85,1.48,31.5,200.0,0.0,1.0,0.0,1.0,0.0
10,11.0,6.0,7.711374,-5.056545,1.0,3.0,2.19,0.91,1.28,16.67,1.89,2.85,1.48,31.5,30.0,0.0,1.0,0.0,1.0,0.0
11,12.0,0.0,7.686289,-4.958266,1.0,3.0,2.4,1.0,1.4,16.67,1.89,2.85,1.48,31.5,65.0,0.0,1.0,0.0,1.0,0.0
12,13.0,0.0,7.686071,-4.958593,1.0,3.0,6.6,2.75,3.85,16.67,1.89,2.85,1.48,31.5,40.0,0.0,1.0,0.0,1.0,0.0
13,14.0,5.0,7.7114419,-4.9729651,1.0,3.0,3.3,1.4,1.9,16.67,1.89,2.85,1.48,31.5,80.0,0.0,1.0,0.0,1.0,0.0
14,15.0,0.0,7.6861733,-4.9581737,1.0,3.0,4.5,2.4,2.1,16.66666666666667,1.89,2.85,1.48,31.5,15.0,0.0,1.0,0.0,1.0,0.0
15,16.0,7.0,7.660101,-5.003497,1.0,3.0,9.864,4.11,5.754,16.67,1.89,2.85,1.48,31.5,10.0,0.0,1.0,0.0,1.0,0.0
16,17.0,7.0,7.660101,-5.003497,1.0,3.0,6.57,2.738,3.832,16.67,1.89,2.85,1.48,31.5,64.0,0.0,1.0,0.0,1.0,0.0
17,18.0,8.0,7.7141646,-4.970018,1.0,3.0,39.42,16.425,22.995,16.67,1.89,2.85,1.48,31.5,35.0,0.0,1.0,0.0,2.0,0.0
18,19.0,9.0,7.6165171,-5.0362038,1.0,3.0,7.665,3.195,4.473,16.67,1.89,2.85,1.48,31.5,45.0,0.0,1.0,0.0,3.0,0.0
19,20.0,5.0,7.7140038,-4.9695952,1.0,3.0,14.0,5.85,8.15,16.67,1.89,2.85,1.48,31.5,27.5,0.0,1.0,0.0,3.0,0.0
20,21.0,3.0,7.7047982,-4.9849126,1.0,3.0,3.285,1.369,1.916,16.67,1.89,2.85,1.48,31.5,39.5,0.0,3.0,0.0,3.0,0.0
21,22.0,10.0,7.648463,-5.011233,1.0,4.0,4.16,1.82,2.34,4.276923076923077,6.5,18.88,18.49,27.8,7.5,0.0,1.0,0.0,3.0,0.0
22,23.0,11.0,7.6605606,-5.0591189,1.0,4.0,3.66,1.6,2.06,4.276923076923077,6.5,18.88,18.49,27.8,7.5,0.0,1.0,0.0,3.0,0.0
23,24.0,12.0,7.7006906,-5.0991083,1.0,4.0,1.95,0.8,1.15,4.276923076923077,6.5,18.88,18.49,27.8,7.5,0.0,1.0,0.0,3.0,0.0
24,25.0,13.0,7.694235,-5.054717,1.0,4.0,1.95,0.813,1.138,4.276923076923077,6.5,18.88,18.49,27.8,7.5,0.0,1.0,0.0,3.0,0.0
25,26.0,14.0,7.6762875,-5.0561406,1.0,4.0,1.3,0.55,0.75,7.471938775510204,3.92,20.23,11.9,29.29,5.0,0.0,1.0,0.0,3.0,0.0
26,27.0,7.0,7.663072,-5.002425,1.0,4.0,34.1,14.2,19.9,4.276923076923077,6.5,18.88,18.49,27.8,67.5,0.0,1.0,0.0,3.0,0.0
