produits;C_N;N;P;K;C
Bouse de bovins;26.52;9.2;2.1;8.1;265.2
Cabosse de cacao;;7.4;0.36;9.28;
Cendre de bois;;3.9;18.6;51.4;
Compost de déjection de bœuf + fibre de coco + plantes fraiches + cendre;11.23;14.05;3.7;13.05;180.85
Compost de fiente de poule pondeuse + fibre de coco + plantes fraiches + cendre;10.85;32.45;19.85;25.05;350.4
Compost de fiente de poulet de chair + fibre de coco + plantes fraiches + cendre;10.28;31.35;18.5;25.5;318.1
Compost de pelure de banane;9.2;21.5;1.8;10.55;197.8
Compost urbain;11.39;6.4;1.52;3.16;75.55
Déjection de bœuf;;21.3;6.1;11.1;
Drêches de brasserie;14.33;9.4;;0.05;134.68
Fibre de coco;;12;1;7.6;
Fiente;14.35;23;0.0002;1.4;330.0
Fiente + sciure;24.21;19;0.0009;1.6;460.0
Fiente + sciure + cendre;17.25;28;0.0013;2.46;483.0
Fiente de chair;8.48;38.1;15.8;26.6;323.07
Fiente de pondeuse;11.14;34.7;11;18;386.7
Fiente de poulet;10.6;23.8;8.5;0.3;252.5
Fiente de poulet composté 14 jours;21;14.6;0.42;6.72;303.3
Fiente de poulet composté 21 jours;21.6;14.1;0.5;7.31;303.59
Fiente de poulet composté 28 jours;20;14;0.52;6.38;281.9
Fiente de poulet composté 35 jours;19;13.2;0.45;5.79;247.6
Fiente de poulet non composté;20;19.6;0.41;5.28;386.7
Fumier bovin;12.65;5.9;2.02;9.32;78.62
Fumier de cheval;13.09;4.9;1.64;5.28;64.16
Fumier de parc;18.83;6.05;1.34;4.52;113.0
Plante Panicum sp;19.01;26.3;2.8;26.5;500.0
Plante Pueraria sp;10.75;46.5;2.4;41.5;500.0
Sciure;220.94;0.9;0.12;0.72;198.84
